source,system,adsorbate,T_K,convention,pressure_bar,loading_mmol_per_g,loading_molec_per_uc,notes
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",7.37,5.30,4.41,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",9.46,8.09,6.73,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",12.06,8.84,7.36,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",14.48,9.25,7.70,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",16.53,9.52,7.92,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",18.40,9.71,8.08,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",20.04,9.86,8.21,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",21.49,9.98,8.31,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",22.79,10.09,8.40,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",24.78,10.23,8.52,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",26.38,10.34,8.61,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",27.66,10.44,8.69,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
"Bourrelly et al., J. Am. Chem. Soc. 2005, 127, 13519-13521, DOI 10.1021/ja054668v, Figure 2 top-left panel (M = Al), digitised",MIL-53(Al),CO2,304,"excess (assumed; source reports n^a from manometry, convention not stated)",29.03,10.51,8.75,digitisation uncertainty approx +/-0.1 bar and +/-0.05 mmol/g; step region 5-9 bar: the 7.37 bar point lies inside the np-lp transition
