family,p_bar,start_uc,end_uc,LAMMPS_uc,LAMMPS_err95,drift,sd_N_uc_LAMMPS,sd_N_uc_RASPA,fluctuation_ratio,RASPA_uc,RASPA_err95,delta,tolerance,within_tolerance,equilibrated,LAMMPS_G_per_A,LAMMPS_kmax1d,LAMMPS_kvectors
from_empty,10.0,0.0,8.1875,7.741294642857142,0.6643249128375706,1.282366071428572,0.4962556914147391,0.1953491758494274,2.540352111837147,9.12681125,0.0526126775,-1.3855166071428577,0.6664050447365811,False,False,0.27519706,10,1438
from_empty,20.0,0.0,9.125,8.455357142857142,0.7061312270036504,1.4542410714285712,0.5280699261482344,0.20770644318461584,2.542385869459378,9.6040025,0.0380251379,-1.1486453571428576,0.7071543119164266,False,False,0.27519706,10,1438
from_empty,30.0,0.0,8.9375,8.3875,0.5560465226152392,1.100446428571428,0.4182898490872834,0.1888325961498355,2.215135827266694,9.79968125,0.0423501776,-1.4121812500000015,0.5576569490782405,False,False,0.27519706,10,1438
continued,10.0,8.1875,9.0,8.671651785714285,0.3103096323186857,0.4575892857142865,0.24037813549795586,0.1953491758494274,1.2305049890931519,9.12681125,0.0526126775,-0.45515946428571397,0.3147382432172438,False,False,0.27567424,10,1438
continued,20.0,9.125,9.0625,9.171875,0.08237405453957082,0.04129464285714235,0.07488230011803686,0.20770644318461584,0.3605198710734225,9.6040025,0.0380251379,-0.4321275,0.09072704102748091,False,True,0.27573337,10,1438
continued,30.0,8.9375,9.3125,9.143973214285714,0.07962470990600085,0.1529017857142847,0.08525969287872613,0.1888325961498355,0.45150940365758674,9.79968125,0.0423501776,-0.6557080357142873,0.09018665073261303,False,False,0.27572151,10,1438
seeded,10.0,9.0625,9.125,9.076041666666667,0.11035199193746366,-0.12369791666666785,0.09641295819375552,0.1953491758494274,0.49354166852523285,9.12681125,0.0526126775,-0.05076958333333259,0.12225242720815424,True,False,0.27572941,10,1438
seeded,20.0,9.5625,9.625,9.52109375,0.04211261056163614,-0.06901041666666785,0.0467396931392254,0.20770644318461584,0.22502765163467622,9.6040025,0.0380251379,-0.08290874999999964,0.05673960768836919,False,False,0.27576111,10,1438
seeded,30.0,9.4375,9.375,9.423177083333334,0.04726681041901915,-0.03515625,0.05549025410899551,0.1888325961498355,0.29385950964188895,9.79968125,0.0423501776,-0.37650416666666686,0.06346407574320324,False,True,0.27575318,10,1438
from_above,10.0,9.4375,9.0625,9.284895833333334,0.13568127087267748,-0.20052083333333215,0.1166947596431517,0.1953491758494274,0.5973649959654731,9.12681125,0.0526126775,0.1580845833333342,0.14552491573384913,False,False,0.27575318,10,1438
from_above,20.0,10.125,10.0,10.0796875,0.05219788741850427,0.06770833333333393,0.05361079570681628,0.20770644318461584,0.25810848659694857,9.6040025,0.0380251379,0.47568500000000036,0.06457964511569309,False,False,0.2757969,10,1438
from_above,30.0,10.125,9.75,9.906770833333335,0.0996052202238084,-0.20052083333333393,0.09039800178840306,0.1888325961498355,0.4787203249415358,9.79968125,0.0423501776,0.10708958333333385,0.10823464065900949,True,False,0.2757969,10,1438
