# CO2 in MIL-53(Al) lp, rigid framework, GCMC (RASPA2 2.0.50), T = 304 K
# absolute and excess loading; 1 molecule/uc = 1.2013 mol/kg (M_uc = 832.415 g/mol)
# excess uses the helium void fraction theta_He = 0.7115 (Widom He, 298 K, eps/k 10.9 K, sigma 2.64 A)
# errors are RASPA's 95 % confidence half-widths (5 blocks, t = 2.776)
p_bar,p_Pa,fugacity_bar,fugacity_coeff,T_K,unit_cells,n_unit_cells,absolute_mol_kg,absolute_mol_kg_err95,absolute_molec_uc,absolute_molec_uc_err95,absolute_molec_uc_rel_err,excess_mol_kg,excess_mol_kg_err95,excess_molec_uc,excess_molec_uc_err95,excess_molec_uc_rel_err,bulk_density_kg_m3,theta_He,M_uc_g_per_mol,acc_insertion,accepted_insertion,acc_deletion,accepted_deletion,acc_reinsertion,acc_translation,acc_rotation,cycles_init,cycles_prod,n_warnings,missing_vdw_pairs,file
0.01,1000.0,0.009999485009440956,0.9999485009,304.0,4x2x2,16,0.1907434938,0.0019998997,0.1587778125,0.0016647472,0.010484759638567258,0.1904559381,0.0019998997,0.1585384468,0.0016647472,0.010500589816551676,0.0174124913,0.7115,832.415,0.5146715765800135,411465.0,0.5151179793285794,411468.0,0.4918938950706357,0.6244203304947916,0.5176394706117684,20000,200000,0,False,/Users/kariskina/Desktop/Projects/gcmc-mil53/runs/production/p_1000/Output/System_0/output_MIL-53_Al_lp_4.2.2_304.000000_1000.data
0.02,2000.0,0.019997940066173506,0.9998970033,304.0,4x2x2,16,0.3858857081,0.0024812059,0.3212171875,0.0020653939,0.006429898462391587,0.3853105672,0.0024812059,0.3207384314,0.0020653939,0.006439496168216279,0.0348267764,0.7115,832.415,0.5375899868597577,429164.0,0.5363477304539093,429164.0,0.4750141578887756,0.620106828686822,0.5039812758173613,20000,200000,0,False,/Users/kariskina/Desktop/Projects/gcmc-mil53/runs/production/p_2000/Output/System_0/output_MIL-53_Al_lp_4.2.2_304.000000_2000.data
0.05,5000.0,0.04998712594620566,0.9997425189,304.0,4x2x2,16,1.0056578101,0.0090408506,0.837125,0.0075257429,0.008989987038972674,1.0042197357,0.0090408506,0.8359279248,0.0075257429,0.00900286098445697,0.0870803986,0.7115,832.415,0.5223960915525415,419366.0,0.5228327353153122,419361.0,0.42461713949845215,0.6097767934904322,0.5094159437919515,20000,200000,0,False,/Users/kariskina/Desktop/Projects/gcmc-mil53/runs/production/p_5000/Output/System_0/output_MIL-53_Al_lp_4.2.2_304.000000_5000.data
0.1,10000.0,0.09994850733482752,0.9994850733,304.0,4x2x2,16,2.0251233305,0.0322880697,1.68574375,0.0268770849,0.015943754737337747,2.0222464404,0.0322880697,1.6833489825,0.0268770849,0.01596643665657724,0.1742056825,0.7115,832.415,0.47035711392442353,127733.0,0.4690387016229713,127738.0,0.34014558803515005,0.5989644475029348,0.5650824234639263,10000,50000,0,False,/Users/kariskina/Desktop/Projects/gcmc-mil53/runs/production/p_10000/Output/System_0/output_MIL-53_Al_lp_4.2.2_304.000000_10000.data
0.5,50000.0,0.49871339246644797,0.9974267849,304.0,4x2x2,16,6.7837798599,0.0344602426,5.6469225,0.0286852349,0.0050797996430799255,6.7693656583,0.0344602426,5.6349238973,0.0286852349,0.005090616204017353,0.8728299517,0.7115,832.415,0.17663283403963778,159843.0,0.1772339262529645,159851.0,0.07037108056612536,0.5277452354322041,0.5384340435891619,10000,50000,0,False,/Users/kariskina/Desktop/Projects/gcmc-mil53/runs/production/p_50000/Output/System_0/output_MIL-53_Al_lp_4.2.2_304.000000_50000.data
1.0,100000.0,0.9948571062612116,0.9948571063,304.0,4x2x2,16,8.2111156811,0.0243280006,6.83505875,0.0202510012,0.002962813040926678,8.18221239,0.0243280006,6.8109992068,0.0202510012,0.0029732790424908144,1.7501946263,0.7115,832.415,0.09221334487358224,101001.0,0.09223198125389251,100999.0,0.02951480399133621,0.503858695602379,0.5310335161241267,10000,50000,0,False,/Users/kariskina/Desktop/Projects/gcmc-mil53/runs/production/p_100000/Output/System_0/output_MIL-53_Al_lp_4.2.2_304.000000_100000.data
2.0,200000.0,1.9794565942493663,0.9897282971,304.0,4x2x2,16,9.3065949365,0.0500920338,7.7469525,0.041697378,0.005382423346470757,9.2484853438,0.0500920338,7.698581183,0.041697378,0.005416241903388135,3.5187375873,0.7115,832.415,0.04751289053101075,58845.0,0.0474158804442328,58846.0,0.012740425525050551,0.5096597732467297,0.517429501592277,10000,50000,0,False,/Users/kariskina/Desktop/Projects/gcmc-mil53/runs/production/p_200000/Output/System_0/output_MIL-53_Al_lp_4.2.2_304.000000_200000.data
5.0,500000.0,4.872125683565041,0.9744251367,304.0,4x2x2,16,10.3929846791,0.0558910738,8.65128,0.0465245879,0.005377769289631129,10.2453659764,0.0558910738,8.5283999256,0.0465245879,0.0054552540108192505,8.9388249705,0.7115,832.415,0.020386794154789827,28251.0,0.02045422465118804,28257.0,0.004597203115352535,0.4883584283102234,0.5300609160754408,10000,50000,0,False,/Users/kariskina/Desktop/Projects/gcmc-mil53/runs/production/p_500000/Output/System_0/output_MIL-53_Al_lp_4.2.2_304.000000_500000.data
10.0,1000000.0,9.491896745767201,0.9491896746,304.0,4x2x2,16,10.9642514738,0.063204838,9.12681125,0.0526126775,0.005764628637411561,10.660673625,0.063204838,8.8741083881,0.0526126775,0.005928784639429528,18.3826927425,0.7115,832.415,0.011794056677489185,17222.0,0.011804156812164915,17224.0,0.002471244600563039,0.5154793657583254,0.5104942974628998,10000,50000,0,False,/Users/kariskina/Desktop/Projects/gcmc-mil53/runs/production/p_1000000/Output/System_0/output_MIL-53_Al_lp_4.2.2_304.000000_1e+06.data
20.0,2000000.0,17.993339903811428,0.8996669952,304.0,4x2x2,16,11.5375124653,0.0456804861,9.6040025,0.0380251379,0.003959301124713368,10.8922437055,0.0456804861,9.0668708782,0.0380251379,0.004193854573514004,39.0732637203,0.7115,832.415,0.006703467979475223,10305.0,0.006706252728400018,10308.0,0.001403156483527073,0.5064106069246012,0.5225970466633438,10000,50000,0,False,/Users/kariskina/Desktop/Projects/gcmc-mil53/runs/production/p_2000000/Output/System_0/output_MIL-53_Al_lp_4.2.2_304.000000_2e+06.data
